"","ImageNumber","ObjectNumber","Metadata_FileLocation","Metadata_FolderName","Metadata_Frame","Metadata_Series","Intensity_IntegratedIntensityEdge_rescalecy5channel","Intensity_IntegratedIntensityEdge_rescaledapichannel","Intensity_IntegratedIntensityEdge_rescalegfpchannel","Intensity_IntegratedIntensityEdge_rescalemcherrychannel","Intensity_IntegratedIntensity_rescalecy5channel","Intensity_IntegratedIntensity_rescaledapichannel","Intensity_IntegratedIntensity_rescalegfpchannel","Intensity_IntegratedIntensity_rescalemcherrychannel","Intensity_LowerQuartileIntensity_rescalecy5channel","Intensity_LowerQuartileIntensity_rescaledapichannel","Intensity_LowerQuartileIntensity_rescalegfpchannel","Intensity_LowerQuartileIntensity_rescalemcherrychannel","Intensity_MADIntensity_rescalecy5channel","Intensity_MADIntensity_rescaledapichannel","Intensity_MADIntensity_rescalegfpchannel","Intensity_MADIntensity_rescalemcherrychannel","Intensity_MassDisplacement_rescalecy5channel","Intensity_MassDisplacement_rescaledapichannel","Intensity_MassDisplacement_rescalegfpchannel","Intensity_MassDisplacement_rescalemcherrychannel","Intensity_MaxIntensityEdge_rescalecy5channel","Intensity_MaxIntensityEdge_rescaledapichannel","Intensity_MaxIntensityEdge_rescalegfpchannel","Intensity_MaxIntensityEdge_rescalemcherrychannel","Intensity_MaxIntensity_rescalecy5channel","Intensity_MaxIntensity_rescaledapichannel","Intensity_MaxIntensity_rescalegfpchannel","Intensity_MaxIntensity_rescalemcherrychannel","Intensity_MeanIntensityEdge_rescalecy5channel","Intensity_MeanIntensityEdge_rescaledapichannel","Intensity_MeanIntensityEdge_rescalegfpchannel","Intensity_MeanIntensityEdge_rescalemcherrychannel","Intensity_MeanIntensity_rescalecy5channel","Intensity_MeanIntensity_rescaledapichannel","Intensity_MeanIntensity_rescalegfpchannel","Intensity_MeanIntensity_rescalemcherrychannel","Intensity_MedianIntensity_rescalecy5channel","Intensity_MedianIntensity_rescaledapichannel","Intensity_MedianIntensity_rescalegfpchannel","Intensity_MedianIntensity_rescalemcherrychannel","Intensity_MinIntensityEdge_rescalecy5channel","Intensity_MinIntensityEdge_rescaledapichannel","Intensity_MinIntensityEdge_rescalegfpchannel","Intensity_MinIntensityEdge_rescalemcherrychannel","Intensity_MinIntensity_rescalecy5channel","Intensity_MinIntensity_rescaledapichannel","Intensity_MinIntensity_rescalegfpchannel","Intensity_MinIntensity_rescalemcherrychannel","Intensity_StdIntensityEdge_rescalecy5channel","Intensity_StdIntensityEdge_rescaledapichannel","Intensity_StdIntensityEdge_rescalegfpchannel","Intensity_StdIntensityEdge_rescalemcherrychannel","Intensity_StdIntensity_rescalecy5channel","Intensity_StdIntensity_rescaledapichannel","Intensity_StdIntensity_rescalegfpchannel","Intensity_StdIntensity_rescalemcherrychannel","Intensity_UpperQuartileIntensity_rescalecy5channel","Intensity_UpperQuartileIntensity_rescaledapichannel","Intensity_UpperQuartileIntensity_rescalegfpchannel","Intensity_UpperQuartileIntensity_rescalemcherrychannel","Location_CenterMassIntensity_X_rescalecy5channel","Location_CenterMassIntensity_X_rescaledapichannel","Location_CenterMassIntensity_X_rescalegfpchannel","Location_CenterMassIntensity_X_rescalemcherrychannel","Location_CenterMassIntensity_Y_rescalecy5channel","Location_CenterMassIntensity_Y_rescaledapichannel","Location_CenterMassIntensity_Y_rescalegfpchannel","Location_CenterMassIntensity_Y_rescalemcherrychannel","Location_CenterMassIntensity_Z_rescalecy5channel","Location_CenterMassIntensity_Z_rescaledapichannel","Location_CenterMassIntensity_Z_rescalegfpchannel","Location_CenterMassIntensity_Z_rescalemcherrychannel","Location_Center_X","Location_Center_Y","Location_Center_Z","Location_MaxIntensity_X_rescalecy5channel","Location_MaxIntensity_X_rescaledapichannel","Location_MaxIntensity_X_rescalegfpchannel","Location_MaxIntensity_X_rescalemcherrychannel","Location_MaxIntensity_Y_rescalecy5channel","Location_MaxIntensity_Y_rescaledapichannel","Location_MaxIntensity_Y_rescalegfpchannel","Location_MaxIntensity_Y_rescalemcherrychannel","Location_MaxIntensity_Z_rescalecy5channel","Location_MaxIntensity_Z_rescaledapichannel","Location_MaxIntensity_Z_rescalegfpchannel","Location_MaxIntensity_Z_rescalemcherrychannel","Number_Object_Number"
"1",51,1,NA,"-Treatment",0,0,68828,181745,93476,28385,900089,3063312,1214942,376505,505,1589,684,214,23,199,28,4,0.0555323174010282,0.439890829965919,0.0583222684572805,0.20231302777051,638,1595,826,277,640,2790,847,380,521.424242424242,1376.85606060606,708.151515151515,215.037878787879,81.2212441314554,1797.89788732394,712.994131455399,15.9536384976526,528,1822,712,217,438,1230,614,202,427,1050,592,202,35.8433293764644,80.9560423724035,40.5125279629245,7.84741349304101,34.052255402288,281.221209514828,42.1871663875841,15.3236472540021,551,1999,740,223,164.93370211168,165.095439770885,164.89595635018,164.718420738104,45.1735206185166,44.824442864613,45.1629411115922,45.1408852472079,0,0,0,0,164.904342723005,45.2206572769953,0,182,168,166,153,32,35,31,42,0,0,0,0,1
"2",51,2,NA,"-Treatment",0,0,90627,181036,90842,29235,1609667,3680294,1064074,370529,866,1948,693,230,220,466,31,14,1.17356600344794,1.26757797795342,0.143059534826157,0.444817211225541,1101,1803,842,343,1953,4902,921,523,708.0234375,1414.34375,709.703125,228.3984375,646.523777173913,2500.40760869565,722.876358695652,46.7180706521739,1090,2348,721,243,502,1207,614,203,502,1207,585,203,123.962410182214,106.250252757052,48.3631056719311,20.9636366133978,287.118093659012,763.602878199316,44.5233779066589,37.3016311214549,1308,2928,753,260,68.6154148653107,68.6832858773026,67.5417151438716,67.9540521794515,58.9859418128097,58.90060778134,59.24277822783,59.4205716691541,0,0,0,0,67.5108695652174,59.382472826087,0,71,82,65,72,65,48,52,68,0,0,0,0,2
"3",51,3,NA,"-Treatment",0,0,83318,213756,112384,33831,1003515,3276283,1332466,406910,530,1638.25,709,216,27,174,31,5,0.108021603625739,0.768326745323473,0.116011895419647,0.211872613876319,658,1640,853,402,742,2723,1037,402,544.562091503268,1397.09803921569,734.535947712418,221.117647058824,110.198778456413,1819.31649083842,739.847862298723,20.9355913381455,555,1815,737,221,460,1218,651,207,447,1218,595,205,37.0694155535507,89.3524097795366,42.9071083806872,23.3212689192966,39.3763912426195,259.532723654535,47.0555233031299,18.6820993906759,583,1982,772,228,353.465710029247,354.049507582428,353.283910433737,353.151392199749,64.3679396919827,64.0229790797686,64.4472947152123,64.3117913052026,0,0,0,0,353.358134369795,64.3581343697946,0,359,356,327,363,63,56,59,48,0,0,0,0,3
"4",51,4,NA,"-Treatment",0,0,158594,253376,127790,37143,2896722,6413771,1891173,574256,872,2218,713,217,197.5,319.5,31,6,0.369876349899183,0.442002221997143,0.101317336747726,0.1992512749779,1833,1858,894,269,3602,4209,934,391,927.450292397661,1481.73099415205,747.309941520468,217.210526315789,692.096342902084,2522.24813212741,743.677939441604,20.8183248132127,1046.5,2541.5,743,222,542,1135,622,205,542,1135,579,204,272.903816651928,152.38063348213,51.1984199488592,9.73941802499933,395.74376304794,518.763488111842,45.5439066950115,15.3448505398498,1294.25,2858.5,775,230,257.268516965038,256.466060822157,257.003289492817,256.735461188042,84.9103673048363,84.836189836823,84.8621400580486,84.7280759800507,0,0,0,0,256.907982697601,84.8277624852536,0,270,267,270,240,79,80,75,77,0,0,0,0,4
"5",51,6,NA,"-Treatment",0,0,132913,243233,125169,36302,2536427,5383919,1895993,561342,898,1841.5,753,221,147,398,35,9,0.497472902057615,0.892380404384618,0.0974561217364507,0.216781545994305,1320,2760,928,260,1775,3561,1022,390,810.44512195122,1483.12804878049,763.225609756098,221.353658536585,608.964612822648,2241.55911740216,789.339300582848,28.6977518734388,1033,2210,789,227,548,1182,618,208,548,1182,618,208,137.075920438309,282.400773756277,55.5785892951848,9.37156044379459,209.408870237769,535.0900272504,54.1464249333803,21.0914365567725,1195.5,2657,823,240,359.804447752685,359.581621681858,360.013464184731,360.040686426457,117.467634589917,117.793672998435,116.989055866767,117.268593834062,0,0,0,0,360.084096586178,117.05620316403,0,339,343,334,352,129,138,129,132,0,0,0,0,6
"6",51,7,NA,"-Treatment",0,0,100539,216949,107752,30604,1271867,2702761,1151517,336534,758,1564.75,745,217,108,263,41,7,0.529218735033259,0.764128122990839,0.327630228414174,0.43478995904419,1200,2773,967,283,1481,2899,1064,418,728.54347826087,1572.09420289855,780.811594202899,221.768115942029,427.135395189003,1857.77800687285,791.420618556701,26.2948453608248,863,1810,783,223,496,1196,644,201,496,1196,612,201,156.546845309343,416.715154645618,62.6460670804395,13.0190996010223,162.493631547739,369.814437815299,66.703408679874,24.6170743882487,976,2107,829,235,313.831711963594,314.255405433902,313.393155289935,313.869219751942,140.892329937014,141.50419578945,141.620371214667,141.567969358222,0,0,0,0,313.514776632302,141.316151202749,0,328,313,296,327,137,141,146,154,0,0,0,0,7
"7",51,8,NA,"-Treatment",0,0,96761,197309,103708,31053,1600463,3358182,1377906,422327,737,1535,699,214,100,235,29,5,0.791798891549364,1.04040731988048,0.0837692051123684,0.04709992213648,969,1805,836,297,1530,2600,883,364,676.65034965035,1379.78321678322,725.230769230769,217.153846153846,398.01742344245,1773.22492080253,727.511087645195,17.9815205913411,834,1744,727,218,486,1206,606,201,486,1206,599,201,111.845063834188,115.640759133054,43.9009839970789,12.6492807459127,157.730974809898,294.171804874955,43.4374817293312,16.761705758889,938.5,2008,756,225,131.582024701602,131.084155429467,130.848580382116,130.823504062018,155.082967241355,156.280896046078,155.352501549453,155.229973456587,0,0,0,0,130.814149947202,155.276135163675,0,138,129,126,118,148,163,157,145,0,0,0,0,8
"8",51,9,NA,"-Treatment",0,0,91520,229805,124199,36554,1113129,3248574,1470549,454369,530,1396.75,707,218.75,28,200,30,6,0.190978384529197,1.38869966867237,0.111978838990818,0.325921085345885,705,1779,870,230,734,2757,969,445,544.761904761905,1367.8869047619,739.279761904762,217.583333333333,112.080361627323,1631.78302360623,738.598191863385,23.2114515318935,556,1593,738,224,462,1175,634,206,447,1053,591,205,39.0209403634519,116.703604302036,47.6251391193116,5.05377825029696,42.7902570512625,298.684630372896,45.7308997847562,20.7135637253092,585,1801.5,767,230,225.166609620269,225.640014712763,225.176311023978,225.001549401478,172.914243542303,174.014721688705,172.802714496423,173.059341636423,0,0,0,0,225.081366147664,172.743345052737,0,230,234,238,217,173,189,161,180,0,0,0,0,9
"9",51,10,NA,"-Treatment",0,0,76728,178115,85318,28017,1235530,3165544,1039743,361897,661,1794,639,215,118.5,227,29,6,0.601719478757186,0.582385238794453,0.181520039645938,0.37289487640101,864,1716,803,436,1601,3231,809,612,608.952380952381,1413.61111111111,677.126984126984,222.357142857143,347.553054662379,2035.91639871383,668.64501607717,27.7311897106109,765.5,2043,667,220,468,1227,552,202,468,1227,529,202,96.9952426539863,102.891757905078,51.3172492005143,34.2322748215158,177.631625709173,357.902152224732,42.9173440896984,44.4102305447877,907.25,2251.5,696,229,1315.6144569537,1315.48806797543,1315.88798866643,1316.38239333291,176.577848372763,176.928633068528,176.956439235465,176.770564552898,0,0,0,0,1316.06881028939,176.972347266881,0,1308,1309,1305,1335,164,185,180,167,0,0,0,0,10
"10",51,11,NA,"-Treatment",0,0,97184,241019,127181,35695,1906062,6630317,2044404,623781,628,2067,746,220.5,90,352,33,10,0.588645182237948,0.934486746254128,0.0470086571838579,0.0825050575214675,758,2397,921,248,1234,4070,982,495,592.585365853659,1469.62804878049,775.493902439024,217.65243902439,281.060351413293,2532.70550038197,780.902979373568,33.2662337662338,712,2725,780,229,479,1170,624,203,453,1170,624,203,56.9555777305634,251.84349949454,54.7580595416873,6.65765148678216,131.105999930993,603.008300666394,49.6767525007673,31.2384275597175,810,2990,813,244,291.974263691318,292.725186004392,292.497027495544,292.46879113022,188.764317739927,189.505801340236,188.615792671116,188.543626689495,0,0,0,0,292.53666921314,188.590527119939,0,298,279,285,287,198,204,170,182,0,0,0,0,11
